graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
tree,1000,2,999,0,BMSSP,0.07773575006285682,717.072265625,0,
tree,10000,2,9999,0,Dijkstra,0.027595207968261093,873.50390625,0,
tree,10000,2,9999,0,BMSSP,0.7130640000104904,6304.01171875,0,
tree,100000,2,99999,0,Dijkstra,0.6279370010015555,15543.68359375,0,
tree,100000,2,99999,0,BMSSP,11.6754825420212,60824.55859375,0,
ER,20,2,15,0,Dijkstra,4.0457991417497396e-05,1.1328125,0,p=0.1
ER,20,2,15,0,BMSSP,0.0004964170511811972,13.3125,0,p=0.1
ER,100,2,511,0,Dijkstra,0.00025970902061089873,7.9453125,0,p=0.1
ER,100,2,511,0,BMSSP,0.025140416983049363,218.171875,0,p=0.1
ER,500,2,12562,0,Dijkstra,0.006140291981864721,80.63671875,0,p=0.1
ER,500,2,12562,0,BMSSP,1.5833603749633767,6070.841796875,0,p=0.1
BA,20,2,36,0,Dijkstra,6.145896622911096e-05,2.0859375,0,m=2
BA,20,2,36,0,BMSSP,0.0032880419166758657,47.1953125,0,m=2
BA,100,2,196,0,Dijkstra,0.00021116697462275624,12.5625,0,m=2
BA,100,2,196,0,BMSSP,0.02547683398006484,243.212890625,0,m=2
BA,500,2,996,0,Dijkstra,0.0011950830230489373,52.78515625,0,m=2
BA,500,2,996,0,BMSSP,0.08673608297249302,721.0078125,0,m=2
WS,20,2,40,0,Dijkstra,8.966599125415087e-05,2.0234375,0,"k=4,p=0.2"
WS,20,2,40,0,BMSSP,0.004967916989699006,43.9765625,0,"k=4,p=0.2"
WS,100,2,200,0,Dijkstra,0.00035787501838058233,12.375,0,"k=4,p=0.2"
WS,100,2,200,0,BMSSP,0.025198042043484747,161.720703125,0,"k=4,p=0.2"
WS,500,2,1000,0,Dijkstra,0.0019086659303866327,46.41015625,0,"k=4,p=0.2"
WS,500,2,1000,0,BMSSP,0.08362400101032108,415.544921875,0,"k=4,p=0.2"
grid_2d,9,2,12,0,Dijkstra,4.654197255149484e-05,1.3515625,0,"rows=3,cols=3"
grid_2d,9,2,12,0,BMSSP,0.0011777079780586064,15.7265625,0,"rows=3,cols=3"
grid_2d,100,2,180,0,Dijkstra,0.0003165840171277523,12.40625,0,"rows=10,cols=10"
grid_2d,100,2,180,0,BMSSP,0.018899332964792848,131.99609375,0,"rows=10,cols=10"
grid_2d,400,2,760,0,Dijkstra,0.0015484580071642995,47.26171875,0,"rows=20,cols=20"
grid_2d,400,2,760,0,BMSSP,0.0543826250359416,306.658203125,0,"rows=20,cols=20"
grid_3d,8,2,12,0,Dijkstra,4.125002305954695e-05,1.3203125,0,"x=2,y=2,z=2"
grid_3d,8,2,12,0,BMSSP,0.0010796249844133854,16.1953125,0,"x=2,y=2,z=2"
grid_3d,125,2,300,0,Dijkstra,0.0003957500448450446,12.65625,0,"x=5,y=5,z=5"
grid_3d,125,2,300,0,BMSSP,0.04668550001224503,272.505859375,0,"x=5,y=5,z=5"
grid_3d,1000,2,2700,0,Dijkstra,0.005712457001209259,111.6171875,0,"x=10,y=10,z=10"
grid_3d,1000,2,2700,0,BMSSP,0.45433041703654453,1330.2734375,0,"x=10,y=10,z=10"
torus,9,2,18,0,Dijkstra,5.241704639047384e-05,1.5546875,0,"rows=3,cols=3"
torus,9,2,18,0,BMSSP,0.0019110410357825458,23.0,0,"rows=3,cols=3"
torus,100,2,200,0,Dijkstra,0.0003534580464474857,13.25,0,"rows=10,cols=10"
torus,100,2,200,0,BMSSP,0.024266332970000803,147.40234375,0,"rows=10,cols=10"
complete,5,2,10,0,Dijkstra,3.566598752513528e-05,1.0234375,0,
complete,5,2,10,0,BMSSP,0.001291417982429266,15.4609375,0,
complete,10,2,45,0,Dijkstra,5.749997217208147e-05,1.3828125,0,
complete,10,2,45,0,BMSSP,0.00621791701996699,49.7578125,0,
complete,50,2,1225,0,Dijkstra,0.0004988330183550715,11.1015625,0,
complete,50,2,1225,0,BMSSP,0.21437325002625585,743.263671875,0,
leafspine,5,2,6,0,Dijkstra,4.64579788967967e-05,1.0234375,0,"n_leaves=3,n_spines=2"
leafspine,5,2,6,0,BMSSP,0.000899790960829705,16.25,0,"n_leaves=3,n_spines=2"
leafspine,15,2,50,0,Dijkstra,6.424897583201528e-05,2.0234375,0,"n_leaves=10,n_spines=5"
leafspine,15,2,50,0,BMSSP,0.005888832965865731,64.796875,0,"n_leaves=10,n_spines=5"
fattree,20,2,48,0,Dijkstra,0.00013216701336205006,2.0859375,0,k=4
fattree,20,2,48,0,BMSSP,0.007361709023825824,48.0859375,0,k=4
fattree,80,2,640,0,Dijkstra,0.000425292004365474,7.1640625,0,k=8
fattree,80,2,640,0,BMSSP,0.10282820800784975,462.21875,0,k=8
tree,10,4,9,0,Dijkstra,7.166794966906309e-05,1.3203125,0,
tree,10,4,9,0,BMSSP,0.0022557079209946096,17.78125,0,
tree,100,4,99,0,Dijkstra,0.00033158197766169906,12.546875,0,
tree,100,4,99,0,BMSSP,0.018616165965795517,137.013671875,0,
tree,1000,4,999,0,Dijkstra,0.004750502062961459,98.92578125,0,
tree,1000,4,999,0,BMSSP,0.15428278996841982,782.212890625,0,
tree,10000,4,9999,0,Dijkstra,0.05304441601037979,873.87890625,0,
tree,10000,4,9999,0,BMSSP,1.3907202910631895,6389.62109375,0,
tree,100000,4,99999,0,Dijkstra,0.9035988739924505,15543.68359375,0,
tree,100000,4,99999,0,BMSSP,17.32914066698868,60798.84765625,0,
ER,20,4,15,0,Dijkstra,7.020903285592794e-05,1.1328125,0,p=0.1
ER,20,4,15,0,BMSSP,0.0009718749206513166,15.0859375,0,p=0.1
ER,100,4,511,0,Dijkstra,0.0005790849681943655,7.6953125,0,p=0.1
ER,100,4,511,0,BMSSP,0.0746852089650929,274.490234375,0,p=0.1
ER,500,4,12562,0,Dijkstra,0.009914165071677417,79.38671875,0,p=0.1
ER,500,4,12562,0,BMSSP,3.21631470794091,6024.03125,0,p=0.1
BA,20,4,36,0,Dijkstra,0.0001465840032324195,2.9140625,0,m=2
BA,20,4,36,0,BMSSP,0.008575958956498653,47.1953125,0,m=2
BA,100,4,196,0,Dijkstra,0.0005893759662285447,15.375,0,m=2
BA,100,4,196,0,BMSSP,0.06679208297282457,273.083984375,0,m=2
BA,500,4,996,0,Dijkstra,0.0034443760523572564,65.53515625,0,m=2
BA,500,4,996,0,BMSSP,0.2195145829464309,722.9296875,0,m=2
WS,20,4,40,0,Dijkstra,0.0001610829494893551,2.0234375,0,"k=4,p=0.2"
WS,20,4,40,0,BMSSP,0.009241751045919955,43.9765625,0,"k=4,p=0.2"
WS,100,4,200,0,Dijkstra,0.0006393739604391158,12.375,0,"k=4,p=0.2"
WS,100,4,200,0,BMSSP,0.04890670801978558,163.197265625,0,"k=4,p=0.2"
WS,500,4,1000,0,Dijkstra,0.003895915055181831,46.41015625,0,"k=4,p=0.2"
WS,500,4,1000,0,BMSSP,0.16876441711792722,428.9609375,0,"k=4,p=0.2"
grid_2d,9,4,12,0,Dijkstra,7.166602881625295e-05,1.3515625,0,"rows=3,cols=3"
grid_2d,9,4,12,0,BMSSP,0.001865208032540977,15.7265625,0,"rows=3,cols=3"
