graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
grid_3d,8,1,12,1,Dijkstra,2.8915994334965944e-05,1.3203125,1,"x=2,y=2,z=2"
grid_3d,8,1,12,1,BMSSP,0.0009428749908693135,16.1875,1,"x=2,y=2,z=2"
torus,9,1,18,1,Dijkstra,3.229198046028614e-05,1.3515625,1,"rows=3,cols=3"
torus,9,1,18,1,BMSSP,0.001434125006198883,25.1328125,1,"rows=3,cols=3"
complete,5,1,10,1,Dijkstra,2.1083978936076164e-05,1.0234375,1,
complete,5,1,10,1,BMSSP,0.000845166970975697,16.765625,1,
leafspine,5,1,6,1,Dijkstra,2.0082981791347265e-05,1.0234375,1,"n_leaves=3,n_spines=2"
leafspine,5,1,6,1,BMSSP,0.000606709043495357,17.296875,1,"n_leaves=3,n_spines=2"
fattree,20,1,48,1,Dijkstra,5.6374992709606886e-05,2.2734375,1,k=4
fattree,20,1,48,1,BMSSP,0.004018209001515061,50.3359375,1,k=4
tree,10,2,9,1,Dijkstra,5.429197335615754e-05,1.3203125,1,
tree,10,2,9,1,BMSSP,0.0014698749873787165,17.984375,1,
tree,100,2,99,1,Dijkstra,0.00017079099779948592,12.546875,1,
tree,100,2,99,1,BMSSP,0.00930391700239852,95.490234375,1,
ER,20,2,23,1,Dijkstra,5.5751006584614515e-05,1.9609375,1,p=0.1
ER,20,2,23,1,BMSSP,0.0022587920539081097,28.4921875,1,p=0.1
BA,20,2,36,1,Dijkstra,9.241694351658225e-05,2.0859375,1,m=2
BA,20,2,36,1,BMSSP,0.005919916031416506,51.4453125,1,m=2
WS,20,2,40,1,Dijkstra,8.608296047896147e-05,2.0234375,1,"k=4,p=0.2"
WS,20,2,40,1,BMSSP,0.005513292038813233,38.8125,1,"k=4,p=0.2"
grid_2d,9,2,12,1,Dijkstra,4.679203266277909e-05,1.3203125,1,"rows=3,cols=3"
grid_2d,9,2,12,1,BMSSP,0.0012033749953843653,15.1953125,1,"rows=3,cols=3"
grid_2d,100,2,180,1,Dijkstra,0.00031716597732156515,12.40625,1,"rows=10,cols=10"
grid_2d,100,2,180,1,BMSSP,0.01846279192250222,129.26171875,1,"rows=10,cols=10"
grid_3d,8,2,12,1,Dijkstra,3.9583013858646154e-05,1.3203125,1,"x=2,y=2,z=2"
grid_3d,8,2,12,1,BMSSP,0.0011082079727202654,16.078125,1,"x=2,y=2,z=2"
torus,9,2,18,1,Dijkstra,4.970794543623924e-05,1.3515625,1,"rows=3,cols=3"
torus,9,2,18,1,BMSSP,0.0020704580238088965,24.96875,1,"rows=3,cols=3"
complete,5,2,10,1,Dijkstra,3.424903843551874e-05,1.0234375,1,
complete,5,2,10,1,BMSSP,0.0013412080006673932,16.2734375,1,
leafspine,5,2,6,1,Dijkstra,3.125000512227416e-05,1.0234375,1,"n_leaves=3,n_spines=2"
leafspine,5,2,6,1,BMSSP,0.0009553750278428197,17.1875,1,"n_leaves=3,n_spines=2"
fattree,20,2,48,1,Dijkstra,9.370897896587849e-05,2.0859375,1,k=4
fattree,20,2,48,1,BMSSP,0.007039498945232481,53.015625,1,k=4
tree,10,1,9,2,Dijkstra,3.270799061283469e-05,1.2890625,2,
tree,10,1,9,2,BMSSP,0.0005982090369798243,15.046875,2,
tree,100,1,99,2,Dijkstra,0.00015912496019154787,12.546875,2,
tree,100,1,99,2,BMSSP,0.00970524997683242,124.990234375,2,
ER,20,1,21,2,Dijkstra,2.1666986867785454e-05,1.0234375,2,p=0.1
