graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
torus,100,1,200,1,Dijkstra,0.00018241599900647998,12.40625,1,"rows=10,cols=10"
torus,100,1,200,1,BMSSP,0.013386292033828795,165.853515625,1,"rows=10,cols=10"
complete,10,1,45,1,Dijkstra,3.6959012504667044e-05,1.4140625,1,
complete,10,1,45,1,BMSSP,0.0032516660285182297,50.390625,1,
complete,50,1,1225,1,Dijkstra,0.0002307079848833382,6.3828125,1,
complete,50,1,1225,1,BMSSP,0.10671295801876113,738.263671875,1,
leafspine,15,1,50,1,Dijkstra,4.454201553016901e-05,2.0859375,1,"n_leaves=10,n_spines=5"
leafspine,15,1,50,1,BMSSP,0.0043438340071588755,65.46875,1,"n_leaves=10,n_spines=5"
fattree,80,1,640,1,Dijkstra,0.0002285840455442667,7.1640625,1,k=8
fattree,80,1,640,1,BMSSP,0.0533292920445092,427.443359375,1,k=8
tree,10000,8,9999,1,Dijkstra,0.15800175099866465,872.15234375,1,
tree,10000,8,9999,1,BMSSP,4.112861041969154,6341.89453125,1,
tree,100000,8,99999,1,Dijkstra,1.19474429206457,15487.390625,1,
tree,100000,8,99999,1,BMSSP,22.519821876077913,60472.66796875,1,
grid_3d,125,8,300,1,Dijkstra,0.0011888730223290622,15.359375,1,"x=5,y=5,z=5"
grid_3d,125,8,300,1,BMSSP,0.11764429195318371,275.33203125,1,"x=5,y=5,z=5"
grid_3d,1000,8,2700,1,Dijkstra,0.013289708993397653,112.33984375,1,"x=10,y=10,z=10"
grid_3d,1000,8,2700,1,BMSSP,0.9843152079847641,1394.453125,1,"x=10,y=10,z=10"
torus,100,8,200,1,Dijkstra,0.0009445829782634974,12.40625,1,"rows=10,cols=10"
torus,100,8,200,1,BMSSP,0.06024308304768056,166.181640625,1,"rows=10,cols=10"
complete,10,8,45,1,Dijkstra,0.00015904102474451065,1.4140625,1,
complete,10,8,45,1,BMSSP,0.012909248005598783,50.6640625,1,
complete,50,8,1225,1,Dijkstra,0.001549542066641152,6.3828125,1,
complete,50,8,1225,1,BMSSP,0.7205807490390725,754.302734375,1,
leafspine,15,8,50,1,Dijkstra,0.0001921680523082614,2.0859375,1,"n_leaves=10,n_spines=5"
leafspine,15,8,50,1,BMSSP,0.012000332993920892,65.46875,1,"n_leaves=10,n_spines=5"
fattree,80,8,640,1,Dijkstra,0.0015097909490577877,7.1640625,1,k=8
fattree,80,8,640,1,BMSSP,0.46843433304456994,454.740234375,1,k=8
tree,10000,16,9999,1,Dijkstra,0.24118449894012883,877.98046875,1,
tree,10000,16,9999,1,BMSSP,6.167344539891928,6367.76953125,1,
tree,100000,16,99999,1,Dijkstra,1.484071041108109,15487.390625,1,
tree,100000,16,99999,1,BMSSP,28.553702167992014,60437.49609375,1,
grid_3d,125,16,300,1,Dijkstra,0.0017422078526578844,15.359375,1,"x=5,y=5,z=5"
grid_3d,125,16,300,1,BMSSP,0.17833708686521277,278.29296875,1,"x=5,y=5,z=5"
grid_3d,1000,16,2700,1,Dijkstra,0.023530916834715754,112.33984375,1,"x=10,y=10,z=10"
grid_3d,1000,16,2700,1,BMSSP,1.7509481650777161,1364.125,1,"x=10,y=10,z=10"
torus,100,16,200,1,Dijkstra,0.0016321669099852443,12.40625,1,"rows=10,cols=10"
torus,100,16,200,1,BMSSP,0.10229554295074195,165.876953125,1,"rows=10,cols=10"
complete,10,10,45,1,Dijkstra,0.0001769179361872375,1.4140625,1,
complete,10,10,45,1,BMSSP,0.013284458895213902,50.390625,1,
complete,50,16,1225,1,Dijkstra,0.002701836987398565,6.3828125,1,
