graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
grid_2d,2500,1,4900,3,Dijkstra,0.00685004104161635,190.6328125,3,"rows=50,cols=50"
grid_2d,2500,1,4900,3,BMSSP,0.15233170799911022,1397.353515625,3,"rows=50,cols=50"
grid_2d,10000,1,19800,3,Dijkstra,0.03442233300302178,833.14453125,3,"rows=100,cols=100"
grid_2d,10000,1,19800,3,BMSSP,0.5210260409512557,5279.955078125,3,"rows=100,cols=100"
tree,1000,1,999,4,Dijkstra,0.002514542022254318,99.1953125,4,
tree,1000,1,999,4,BMSSP,0.0693069170229137,731.220703125,4,
ER,500,1,12457,4,Dijkstra,0.0029032910242676735,96.2109375,4,p=0.1
ER,500,1,12457,4,BMSSP,0.8697849999880418,5981.419921875,4,p=0.1
BA,500,1,996,4,Dijkstra,0.001399290980771184,69.06640625,4,m=2
BA,500,1,996,4,BMSSP,0.07262954203179106,721.396484375,4,m=2
WS,500,1,1000,4,Dijkstra,0.00087237503612414,47.20703125,4,"k=4,p=0.2"
WS,500,1,1000,4,BMSSP,0.034339958045165986,365.8984375,4,"k=4,p=0.2"
grid_2d,100,1,180,4,Dijkstra,0.00017154199304059148,12.34375,4,"rows=10,cols=10"
grid_2d,100,1,180,4,BMSSP,0.009761792025528848,129.91796875,4,"rows=10,cols=10"
grid_2d,400,1,760,4,Dijkstra,0.0008591669611632824,47.0859375,4,"rows=20,cols=20"
grid_2d,400,1,760,4,BMSSP,0.028146583994384855,273.169921875,4,"rows=20,cols=20"
grid_2d,2500,1,4900,4,Dijkstra,0.005999124958179891,184.484375,4,"rows=50,cols=50"
grid_2d,2500,1,4900,4,BMSSP,0.15829941595438868,1351.205078125,4,"rows=50,cols=50"
grid_2d,10000,1,19800,4,Dijkstra,0.03672629198990762,832.671875,4,"rows=100,cols=100"
grid_2d,10000,1,19800,4,BMSSP,0.5303637500037439,5284.009765625,4,"rows=100,cols=100"
tree,1000,1,999,5,Dijkstra,0.0024716670159250498,101.47265625,5,
tree,1000,1,999,5,BMSSP,0.07385208294726908,699.365234375,5,
ER,500,1,12472,5,Dijkstra,0.0029094580095261335,76.2265625,5,p=0.1
ER,500,1,12472,5,BMSSP,0.884149957972113,5863.5625,5,p=0.1
BA,500,1,996,5,Dijkstra,0.0014060829998925328,72.56640625,5,m=2
BA,500,1,996,5,BMSSP,0.08110454096458852,730.5703125,5,m=2
WS,500,1,1000,5,Dijkstra,0.0009467080235481262,47.53125,5,"k=4,p=0.2"
WS,500,1,1000,5,BMSSP,0.04160558298463002,400.435546875,5,"k=4,p=0.2"
grid_2d,100,1,180,5,Dijkstra,0.00017387501429766417,12.34375,5,"rows=10,cols=10"
grid_2d,100,1,180,5,BMSSP,0.009986791992560029,129.32421875,5,"rows=10,cols=10"
grid_2d,400,1,760,5,Dijkstra,0.0008135829702951014,47.1484375,5,"rows=20,cols=20"
grid_2d,400,1,760,5,BMSSP,0.02812504197936505,289.748046875,5,"rows=20,cols=20"
grid_2d,2500,1,4900,5,Dijkstra,0.006356167024932802,184.40234375,5,"rows=50,cols=50"
grid_2d,2500,1,4900,5,BMSSP,0.22749116696650162,1348.150390625,5,"rows=50,cols=50"
